Date,148070.KS,294400.KS,BIL,BWX,EMB,GOOG,HYG,IEF,LQD,SHY,SPY,TIP,TLT,VEA
2023-09-21,100990.8203125,41435.0,83.3627700805664,20.68834114074707,75.0624771118164,130.46719360351562,65.58369445800781,85.69100952148438,94.44084167480469,74.86492919921875,421.6877136230469,98.4786148071289,83.53966522216797,41.840293884277344
2023-09-22,101224.9609375,41305.0,83.37183380126953,20.66910171508789,75.36822509765625,130.35794067382812,65.6991195678711,86.02603912353516,95.01730346679688,74.93901062011719,420.739501953125,98.81866455078125,84.21202850341797,41.88746643066406
2023-09-25,101206.21875,41285.0,83.38092803955078,20.52483558654785,74.93656921386719,131.27166748046875,65.6103515625,85.39321899414062,94.09313201904297,74.9112319946289,422.50885009765625,98.07246398925781,82.13965606689453,41.72708511352539
2023-09-26,101032.96875,40795.0,83.39000701904297,20.419025421142578,74.44197082519531,128.57015991210938,65.32624816894531,85.36531066894531,93.8277587890625,74.92050170898438,416.3016357421875,97.8268814086914,81.85414123535156,41.132728576660156
2023-09-27,101075.109375,40890.0,83.41728973388672,20.313236236572266,74.11823272705078,130.56651306152344,65.23744201660156,84.98374938964844,93.38856506347656,74.86492919921875,416.46783447265625,97.66632843017578,81.43045806884766,41.038394927978516
2023-09-28,,,83.4445571899414,20.3613224029541,74.28910064697266,132.22515869140625,65.54817199707031,85.21640014648438,93.55327606201172,74.9946060180664,418.88226318359375,98.16692352294922,81.67913055419922,41.37802505493164
2023-09-29,,,83.45362091064453,20.428651809692383,74.20816802978516,130.95384216308594,65.4505386352539,85.23503112792969,93.35194396972656,75.00384521484375,417.8656311035156,97.96855926513672,81.68834686279297,41.245941162109375
2023-10-02,,,83.46643829345703,20.198442459106445,73.39802551269531,134.2512969970703,65.0533676147461,84.54362487792969,92.4967041015625,74.92864990234375,417.6994323730469,97.37346649169922,80.32088470458984,40.604427337646484
2023-10-03,,,83.48467254638672,20.121383666992188,72.57617950439453,132.3939971923828,64.39292907714844,83.84382629394531,91.43110656738281,74.87293243408203,412.10809326171875,96.68280792236328,78.59303283691406,40.09498596191406
2023-10-04,98621.40625,39805.0,83.49381256103516,20.22734260559082,72.91938018798828,135.34381103515625,64.72315979003906,84.37569427490234,92.23030090332031,75.04009246826172,415.1090393066406,97.10856628417969,79.70183563232422,40.113853454589844
2023-10-05,98850.84375,39785.0,83.54857635498047,20.352556228637695,72.89228057861328,135.0657196044922,64.78562927246094,84.5343017578125,92.12005615234375,75.11438751220703,414.95263671875,96.96663665771484,79.30448150634766,40.48177719116211
2023-10-06,99548.5625,39845.0,83.54857635498047,20.15991973876953,72.91938018798828,137.78709411621094,64.8749008178711,84.03976440429688,91.84447479248047,75.04939270019531,419.87933349609375,96.61659240722656,78.34358215332031,40.90631866455078
2023-10-09,,,83.55770111083984,20.39108657836914,73.28065490722656,138.55184936523438,65.35682678222656,85.11278533935547,92.98358917236328,75.27226257324219,422.5675048828125,97.57215881347656,80.1822738647461,40.878013610839844
2023-10-10,99871.671875,39910.0,83.55770111083984,20.51630401611328,73.39802551269531,138.25387573242188,65.3389663696289,84.94483947753906,93.02030944824219,75.22581481933594,424.76690673828125,97.60999298095703,80.07140350341797,41.396888732910156
2023-10-11,100377.390625,40590.0,83.5759506225586,20.593358993530273,73.99411010742188,140.7368927001953,65.33000946044922,85.41138458251953,93.5898666381836,75.20726776123047,426.5068359375,98.04520416259766,81.74376678466797,41.576141357421875
2023-10-12,100789.46875,41075.0,83.61247253417969,20.294769287109375,73.21739959716797,139.3364715576172,64.98197174072266,84.59026336669922,92.61612701416016,75.11438751220703,423.90667724609375,97.42078399658203,79.52623748779297,41.2176399230957
2023-10-13,100208.8203125,40735.0,83.63072204589844,20.352556228637695,73.42515563964844,137.63812255859375,64.92842102050781,85.1314468383789,93.13054656982422,75.16079711914062,421.79522705078125,98.0546646118164,80.94918060302734,40.84971237182617
2023-10-16,100232.234375,40440.0,83.63985443115234,20.381454467773438,73.3438491821289,139.5351104736328,64.91057586669922,84.62760925292969,92.48751831054688,75.11438751220703,426.2331237792969,97.77082061767578,79.6463623046875,41.170475006103516
2023-10-17,99871.671875,40905.0,83.64897155761719,20.23697280883789,72.99163818359375,140.03172302246094,64.60713195800781,83.79718780517578,91.75259399414062,74.94723510742188,426.213623046875,97.29778289794922,78.76860809326172,41.179908752441406
2023-10-18,99403.40625,41050.0,83.65808868408203,20.131017684936523,72.52200317382812,138.33334350585938,64.29473876953125,83.40531921386719,91.01773071289062,74.94723510742188,420.53424072265625,97.0896224975586,78.07561492919922,40.48177719116211
