Date,148070.KS,294400.KS,BIL,BWX,EMB,HYG,IEF,LQD,SHY,SPY,TIP,TLT,VEA
2024-07-15,110606.2890625,50205.0,86.96371459960938,21.349109649658203,84.29996490478516,72.86392974853516,90.58670043945312,103.10594177246094,78.27961730957031,554.6220703125,104.22054290771484,88.37255859375,49.592041015625
2024-07-16,111074.7109375,50190.0,86.96371459960938,21.397939682006836,84.67511749267578,73.14421081542969,90.9886703491211,103.7042236328125,78.30828857421875,557.9111328125,104.5406494140625,89.61924743652344,49.88312911987305
2024-07-17,111011.9375,49785.0,86.99219512939453,21.48583984375,84.37499237060547,73.06014251708984,91.06524658203125,103.75172424316406,78.31781768798828,550.0885620117188,104.5794448852539,89.63829040527344,49.601741790771484
2024-07-18,110982.9609375,49420.0,87.0016860961914,21.36863899230957,83.9342269897461,72.91065979003906,90.80682373046875,103.30536651611328,78.27961730957031,545.8612060546875,104.34664916992188,88.95307922363281,49.11659240722656
2024-07-19,110867.0625,48840.0,87.03018188476562,21.300273895263672,83.70914459228516,72.85459899902344,90.51970672607422,102.92550659179688,78.24142456054688,542.236328125,104.09441375732422,88.42964935302734,48.825504302978516
2024-07-22,110857.40625,48350.0,87.04916381835938,21.300273895263672,84.08428192138672,73.12552642822266,90.43356323242188,102.86853790283203,78.2509765625,547.8267822265625,103.96832275390625,88.17271423339844,49.30094909667969
2024-07-23,110804.28125,48505.0,87.04916381835938,21.339344024658203,84.11241149902344,73.13487243652344,90.50055694580078,102.79255676269531,78.28917694091797,546.967529296875,103.91014099121094,88.04898834228516,49.04867172241211
2024-07-24,111209.9296875,48195.0,87.0776596069336,21.319808959960938,83.56847381591797,72.90131378173828,90.29956817626953,102.16576385498047,78.32737731933594,534.5718383789062,103.59971618652344,87.09730529785156,48.437381744384766
2024-07-25,111171.296875,47390.0,87.0776596069336,21.339344024658203,83.70914459228516,72.91065979003906,90.50055694580078,102.5741195678711,78.33692169189453,531.7865600585938,103.8519058227539,87.81106567382812,48.13658905029297
2024-07-26,111388.609375,47615.0,87.12510681152344,21.44676971435547,84.17806243896484,73.14421081542969,90.93125915527344,103.14392852783203,78.4419937133789,537.7423095703125,104.18174743652344,88.49627685546875,48.76728057861328
2024-07-29,111890.8359375,48145.0,87.12510681152344,21.44676971435547,84.31873321533203,73.07882690429688,91.08438110351562,103.36235809326172,78.45153045654297,538.0584106445312,104.28843688964844,88.97211456298828,48.57322692871094
2024-07-30,111852.203125,47710.0,87.13459777832031,21.466304779052734,84.4312744140625,73.11620330810547,91.27578735351562,103.44783782958984,78.48019409179688,535.3323974609375,104.36602020263672,89.31470489501953,48.679954528808594
2024-07-31,111721.8125,48405.0,87.1535873413086,21.70069694519043,84.82515716552734,73.37779235839844,91.94572448730469,104.04611206054688,78.6425552368164,544.0339965820312,104.93836975097656,90.22832489013672,49.397979736328125
2024-08-01,112253.0234375,48440.0,87.1745834350586,21.707544326782227,84.77900695800781,73.2171859741211,92.33837127685547,104.3911361694336,78.77863311767578,536.3298950195312,105.07731628417969,91.00652313232422,48.13658905029297
2024-08-02,112537.9375,46505.0,87.22225189208984,22.108631134033203,85.34412384033203,72.97299194335938,93.76870727539062,105.41092681884766,79.21942901611328,526.3443603515625,105.58251953125,93.8424301147461,47.29243087768555
2024-08-05,113566.5390625,42235.0,87.22225189208984,22.255367279052734,84.47759246826172,72.522216796875,93.86470031738281,105.1440658569336,79.20027160644531,511.0152587890625,105.88372039794922,94.33895874023438,46.186283111572266
2024-08-06,112310.96875,43345.0,87.24130249023438,22.128192901611328,84.19503021240234,72.79457092285156,93.02953338623047,104.45785522460938,79.10443878173828,515.7265014648438,105.2716293334961,92.22872161865234,46.263912200927734
2024-08-07,112359.2578125,44305.0,87.26038360595703,22.030364990234375,84.37397766113281,72.93544006347656,92.69354248046875,103.98131561279297,79.05652618408203,512.2794189453125,104.95098876953125,91.57942962646484,46.48707962036133
2024-08-08,112417.2109375,43935.0,87.26992797851562,22.020591735839844,84.76956939697266,73.2359848022461,92.41516876220703,104.02896118164062,79.01819610595703,524.1220092773438,104.85383605957031,91.01606750488281,47.28272247314453
2024-08-09,112320.625,44645.0,87.28900146484375,22.137977600097656,85.14633178710938,73.2265853881836,92.78953552246094,104.56270599365234,79.037353515625,526.4332275390625,105.1258773803711,91.91362762451172,47.44767761230469
2024-08-12,112397.890625,45150.0,87.31761169433594,22.157541275024414,85.2405014038086,73.27352905273438,93.0487289428711,104.78191375732422,79.08527374267578,526.7098388671875,105.40763854980469,92.2478256225586,47.46707534790039
2024-08-13,112644.1796875,45290.0,87.3271484375,22.265148162841797,85.7020263671875,73.61162567138672,93.46150970458984,105.5157699584961,79.20984649658203,535.3718872070312,105.63109588623047,92.8875732421875,48.24332046508789
2024-08-14,112871.1484375,45725.0,87.33667755126953,22.284717559814453,85.89042663574219,73.74312591552734,93.5863265991211,105.9827880859375,79.20027160644531,537.0608520507812,105.57280731201172,93.47002410888672,48.42768096923828
