Date,148070.KS,294400.KS,BIL,BWX,EMB,HYG,IEF,LQD,META,NVDA,SHY,SPY,TIP,TLT,VEA
2020-11-25,114165.0546875,40530.0,79.5405502319336,28.462446212768555,90.46907043457031,66.70143127441406,106.69426727294922,115.61253356933594,274.08636474609375,13.194472312927246,77.294921875,339.0309753417969,104.85948181152344,137.39089965820312,39.38561248779297
2020-11-26,113946.84375,40995.0,,,,,,,,,,,,,
2020-11-27,114019.5703125,41085.0,79.5492172241211,28.508926391601562,90.762451171875,66.80967712402344,107.0140609741211,116.02452850341797,276.29425048828125,13.220890998840332,77.294921875,339.9751892089844,105.11751556396484,138.7242889404297,39.66151428222656
2020-11-30,113905.921875,40480.0,79.5405502319336,28.388090133666992,90.5880126953125,66.7400894165039,106.94300842285156,116.42804718017578,275.4588317871094,13.360715866088867,77.31283569335938,338.47015380859375,105.23406219482422,138.5511016845703,38.87689971923828
2020-12-01,114019.5703125,41075.0,79.53445434570312,28.44668960571289,90.81558227539062,66.9115982055664,106.37408447265625,115.98661804199219,284.9865417480469,13.349249839782715,77.270751953125,342.17205810546875,104.9948959350586,136.50827026367188,39.71324920654297
2020-12-02,113764.9921875,41795.0,79.54315948486328,28.511802673339844,90.86331939697266,67.09790802001953,106.1962890625,115.59910583496094,285.9512634277344,13.503279685974121,77.28865051269531,342.8919372558594,105.06990814208984,135.42486572265625,39.77360153198242
2020-12-03,113746.8046875,42090.0,79.54315948486328,28.772275924682617,91.24526977539062,67.13671875,106.48074340820312,116.05400848388672,280.3122253417969,13.359177589416504,77.30660247802734,342.7984924316406,105.36155700683594,136.51695251464844,39.91154861450195
2020-12-04,113928.65625,42860.0,79.55182647705078,28.73505401611328,91.32479858398438,67.41617584228516,106.06300354003906,115.41378784179688,278.1739196777344,13.520983695983887,77.29759216308594,345.75262451171875,105.13655090332031,134.51483154296875,40.29954147338867
2020-12-07,114019.5703125,43100.0,79.53445434570312,28.68855094909668,91.30888366699219,67.38511657714844,106.39183807373047,115.51488494873047,284.0218200683594,13.56934928894043,77.31550598144531,345.0421142578125,105.41154479980469,135.7281951904297,40.00639724731445
2020-12-08,114142.328125,42375.0,79.53445434570312,28.76296615600586,91.15772247314453,67.33077239990234,106.49851989746094,115.38008880615234,281.85369873046875,13.31330394744873,77.29759216308594,346.0516662597656,105.58651733398438,136.3695831298828,40.10123062133789
